Hour,Type,Value
35.25,A2_L-Arabinose,191
35.5,A2_L-Arabinose,192
35.75,A2_L-Arabinose,190
36.0,A2_L-Arabinose,194
36.25,A2_L-Arabinose,196
36.5,A2_L-Arabinose,194
36.75,A2_L-Arabinose,196
37.0,A2_L-Arabinose,200
37.25,A2_L-Arabinose,202
37.5,A2_L-Arabinose,199
37.75,A2_L-Arabinose,199
38.0,A2_L-Arabinose,198
38.25,A2_L-Arabinose,200
38.5,A2_L-Arabinose,202
38.75,A2_L-Arabinose,204
39.0,A2_L-Arabinose,201
39.25,A2_L-Arabinose,204
39.5,A2_L-Arabinose,202
39.75,A2_L-Arabinose,205
40.0,A2_L-Arabinose,205
40.25,A2_L-Arabinose,209
40.5,A2_L-Arabinose,219
40.75,A2_L-Arabinose,218
41.0,A2_L-Arabinose,210
41.25,A2_L-Arabinose,210
41.5,A2_L-Arabinose,209
41.75,A2_L-Arabinose,210
42.0,A2_L-Arabinose,209
42.25,A2_L-Arabinose,212
42.5,A2_L-Arabinose,213
42.75,A2_L-Arabinose,211
43.0,A2_L-Arabinose,218
43.25,A2_L-Arabinose,215
43.5,A2_L-Arabinose,218
43.75,A2_L-Arabinose,218
44.0,A2_L-Arabinose,220
44.25,A2_L-Arabinose,216
44.5,A2_L-Arabinose,217
44.75,A2_L-Arabinose,216
45.0,A2_L-Arabinose,214
45.25,A2_L-Arabinose,222
45.5,A2_L-Arabinose,219
45.75,A2_L-Arabinose,220
46.0,A2_L-Arabinose,223
46.25,A2_L-Arabinose,217
46.5,A2_L-Arabinose,220
46.75,A2_L-Arabinose,219
47.0,A2_L-Arabinose,224
47.25,A2_L-Arabinose,225
47.5,A2_L-Arabinose,231
47.75,A2_L-Arabinose,232
48.0,A2_L-Arabinose,237
48.25,A2_L-Arabinose,225
48.5,A2_L-Arabinose,234
48.75,A2_L-Arabinose,225
49.0,A2_L-Arabinose,235
49.25,A2_L-Arabinose,237
49.5,A2_L-Arabinose,225
49.75,A2_L-Arabinose,238
50.0,A2_L-Arabinose,226
50.25,A2_L-Arabinose,232
50.5,A2_L-Arabinose,230
50.75,A2_L-Arabinose,230
51.0,A2_L-Arabinose,236
51.25,A2_L-Arabinose,237
51.5,A2_L-Arabinose,227
51.75,A2_L-Arabinose,237
52.0,A2_L-Arabinose,230
52.25,A2_L-Arabinose,240
52.5,A2_L-Arabinose,228
52.75,A2_L-Arabinose,225
53.0,A2_L-Arabinose,226
53.25,A2_L-Arabinose,232
53.5,A2_L-Arabinose,231
53.75,A2_L-Arabinose,227
54.0,A2_L-Arabinose,234
54.25,A2_L-Arabinose,230
54.5,A2_L-Arabinose,227
54.75,A2_L-Arabinose,237
55.0,A2_L-Arabinose,240
55.25,A2_L-Arabinose,230
55.5,A2_L-Arabinose,237
55.75,A2_L-Arabinose,231
56.0,A2_L-Arabinose,231
56.25,A2_L-Arabinose,234
56.5,A2_L-Arabinose,241
56.75,A2_L-Arabinose,232
57.0,A2_L-Arabinose,241
57.25,A2_L-Arabinose,229
57.5,A2_L-Arabinose,230
57.75,A2_L-Arabinose,243
58.0,A2_L-Arabinose,232
58.25,A2_L-Arabinose,229
58.5,A2_L-Arabinose,229
58.75,A2_L-Arabinose,230
59.0,A2_L-Arabinose,245
59.25,A2_L-Arabinose,233
59.5,A2_L-Arabinose,231
59.75,A2_L-Arabinose,234
60.0,A2_L-Arabinose,231
60.25,A2_L-Arabinose,235
60.5,A2_L-Arabinose,232
60.75,A2_L-Arabinose,233
61.0,A2_L-Arabinose,234
61.25,A2_L-Arabinose,232
61.5,A2_L-Arabinose,236
61.75,A2_L-Arabinose,233
62.0,A2_L-Arabinose,230
62.25,A2_L-Arabinose,233
62.5,A2_L-Arabinose,244
62.75,A2_L-Arabinose,235
63.0,A2_L-Arabinose,238
63.25,A2_L-Arabinose,234
63.5,A2_L-Arabinose,234
63.75,A2_L-Arabinose,237
64.0,A2_L-Arabinose,233
64.25,A2_L-Arabinose,238
64.5,A2_L-Arabinose,240
64.75,A2_L-Arabinose,233
65.0,A2_L-Arabinose,233
65.25,A2_L-Arabinose,234
65.5,A2_L-Arabinose,242
65.75,A2_L-Arabinose,240
66.0,A2_L-Arabinose,239
66.25,A2_L-Arabinose,234
66.5,A2_L-Arabinose,236
66.75,A2_L-Arabinose,239
67.0,A2_L-Arabinose,234
67.25,A2_L-Arabinose,241
67.5,A2_L-Arabinose,240
67.75,A2_L-Arabinose,242
68.0,A2_L-Arabinose,233
68.25,A2_L-Arabinose,238
68.5,A2_L-Arabinose,244
68.75,A2_L-Arabinose,242
69.0,A2_L-Arabinose,236
69.25,A2_L-Arabinose,233
69.5,A2_L-Arabinose,236
69.75,A2_L-Arabinose,235
70.0,A2_L-Arabinose,233
70.25,A2_L-Arabinose,231
70.5,A2_L-Arabinose,237
70.75,A2_L-Arabinose,235
71.0,A2_L-Arabinose,231
71.25,A2_L-Arabinose,234
71.5,A2_L-Arabinose,236
71.75,A2_L-Arabinose,238
72.0,A2_L-Arabinose,236
72.25,A2_L-Arabinose,238
72.5,A2_L-Arabinose,234
72.75,A2_L-Arabinose,234
73.0,A2_L-Arabinose,244
73.25,A2_L-Arabinose,233
73.5,A2_L-Arabinose,234
73.75,A2_L-Arabinose,242
74.0,A2_L-Arabinose,234
74.25,A2_L-Arabinose,237
74.5,A2_L-Arabinose,233
74.75,A2_L-Arabinose,238
75.0,A2_L-Arabinose,239
75.25,A2_L-Arabinose,236
75.5,A2_L-Arabinose,235
75.75,A2_L-Arabinose,236
76.0,A2_L-Arabinose,236
76.25,A2_L-Arabinose,236
76.5,A2_L-Arabinose,234
76.75,A2_L-Arabinose,241
77.0,A2_L-Arabinose,240
77.25,A2_L-Arabinose,243
77.5,A2_L-Arabinose,241
77.75,A2_L-Arabinose,242
78.0,A2_L-Arabinose,235
78.25,A2_L-Arabinose,240
78.5,A2_L-Arabinose,242
78.75,A2_L-Arabinose,237
79.0,A2_L-Arabinose,236
79.25,A2_L-Arabinose,235
79.5,A2_L-Arabinose,241
79.75,A2_L-Arabinose,240
80.0,A2_L-Arabinose,239
80.25,A2_L-Arabinose,243
80.5,A2_L-Arabinose,243
80.75,A2_L-Arabinose,242
81.0,A2_L-Arabinose,239
81.25,A2_L-Arabinose,238
81.5,A2_L-Arabinose,242
81.75,A2_L-Arabinose,0
0.0,A3_N-Acetyl-D_Glucosamine,11
0.25,A3_N-Acetyl-D_Glucosamine,11
0.5,A3_N-Acetyl-D_Glucosamine,11
0.75,A3_N-Acetyl-D_Glucosamine,11
1.0,A3_N-Acetyl-D_Glucosamine,11
1.25,A3_N-Acetyl-D_Glucosamine,11
1.5,A3_N-Acetyl-D_Glucosamine,11
1.75,A3_N-Acetyl-D_Glucosamine,11
2.0,A3_N-Acetyl-D_Glucosamine,11
2.25,A3_N-Acetyl-D_Glucosamine,11
2.5,A3_N-Acetyl-D_Glucosamine,11
2.75,A3_N-Acetyl-D_Glucosamine,11
3.0,A3_N-Acetyl-D_Glucosamine,11
3.25,A3_N-Acetyl-D_Glucosamine,11
3.5,A3_N-Acetyl-D_Glucosamine,11
3.75,A3_N-Acetyl-D_Glucosamine,11
4.0,A3_N-Acetyl-D_Glucosamine,11
4.25,A3_N-Acetyl-D_Glucosamine,11
4.5,A3_N-Acetyl-D_Glucosamine,11
4.75,A3_N-Acetyl-D_Glucosamine,11
5.0,A3_N-Acetyl-D_Glucosamine,11
5.25,A3_N-Acetyl-D_Glucosamine,11
5.5,A3_N-Acetyl-D_Glucosamine,12
5.75,A3_N-Acetyl-D_Glucosamine,11
6.0,A3_N-Acetyl-D_Glucosamine,14
6.25,A3_N-Acetyl-D_Glucosamine,12
6.5,A3_N-Acetyl-D_Glucosamine,11
6.75,A3_N-Acetyl-D_Glucosamine,11
7.0,A3_N-Acetyl-D_Glucosamine,11
7.25,A3_N-Acetyl-D_Glucosamine,13
7.5,A3_N-Acetyl-D_Glucosamine,11
7.75,A3_N-Acetyl-D_Glucosamine,11
8.0,A3_N-Acetyl-D_Glucosamine,13
8.25,A3_N-Acetyl-D_Glucosamine,21
8.5,A3_N-Acetyl-D_Glucosamine,15
8.75,A3_N-Acetyl-D_Glucosamine,23
9.0,A3_N-Acetyl-D_Glucosamine,18
9.25,A3_N-Acetyl-D_Glucosamine,23
9.5,A3_N-Acetyl-D_Glucosamine,19
9.75,A3_N-Acetyl-D_Glucosamine,22
10.0,A3_N-Acetyl-D_Glucosamine,34
10.25,A3_N-Acetyl-D_Glucosamine,32
10.5,A3_N-Acetyl-D_Glucosamine,33
10.75,A3_N-Acetyl-D_Glucosamine,30
11.0,A3_N-Acetyl-D_Glucosamine,32
11.25,A3_N-Acetyl-D_Glucosamine,38
11.5,A3_N-Acetyl-D_Glucosamine,29
11.75,A3_N-Acetyl-D_Glucosamine,39
12.0,A3_N-Acetyl-D_Glucosamine,37
12.25,A3_N-Acetyl-D_Glucosamine,39
12.5,A3_N-Acetyl-D_Glucosamine,41
12.75,A3_N-Acetyl-D_Glucosamine,36
13.0,A3_N-Acetyl-D_Glucosamine,42
13.25,A3_N-Acetyl-D_Glucosamine,40
13.5,A3_N-Acetyl-D_Glucosamine,44
13.75,A3_N-Acetyl-D_Glucosamine,49
14.0,A3_N-Acetyl-D_Glucosamine,39
14.25,A3_N-Acetyl-D_Glucosamine,46
14.5,A3_N-Acetyl-D_Glucosamine,50
14.75,A3_N-Acetyl-D_Glucosamine,53
15.0,A3_N-Acetyl-D_Glucosamine,51
15.25,A3_N-Acetyl-D_Glucosamine,53
15.5,A3_N-Acetyl-D_Glucosamine,57
15.75,A3_N-Acetyl-D_Glucosamine,57
16.0,A3_N-Acetyl-D_Glucosamine,52
16.25,A3_N-Acetyl-D_Glucosamine,59
16.5,A3_N-Acetyl-D_Glucosamine,53
16.75,A3_N-Acetyl-D_Glucosamine,54
17.0,A3_N-Acetyl-D_Glucosamine,59
17.25,A3_N-Acetyl-D_Glucosamine,54
17.5,A3_N-Acetyl-D_Glucosamine,67
17.75,A3_N-Acetyl-D_Glucosamine,64
18.0,A3_N-Acetyl-D_Glucosamine,63
18.25,A3_N-Acetyl-D_Glucosamine,60
18.5,A3_N-Acetyl-D_Glucosamine,65
18.75,A3_N-Acetyl-D_Glucosamine,70
19.0,A3_N-Acetyl-D_Glucosamine,69
19.25,A3_N-Acetyl-D_Glucosamine,73
19.5,A3_N-Acetyl-D_Glucosamine,72
19.75,A3_N-Acetyl-D_Glucosamine,74
20.0,A3_N-Acetyl-D_Glucosamine,79
20.25,A3_N-Acetyl-D_Glucosamine,82
20.5,A3_N-Acetyl-D_Glucosamine,81
20.75,A3_N-Acetyl-D_Glucosamine,85
21.0,A3_N-Acetyl-D_Glucosamine,78
21.25,A3_N-Acetyl-D_Glucosamine,86
21.5,A3_N-Acetyl-D_Glucosamine,85
21.75,A3_N-Acetyl-D_Glucosamine,89
22.0,A3_N-Acetyl-D_Glucosamine,92
22.25,A3_N-Acetyl-D_Glucosamine,94
22.5,A3_N-Acetyl-D_Glucosamine,96
22.75,A3_N-Acetyl-D_Glucosamine,89
23.0,A3_N-Acetyl-D_Glucosamine,95
23.25,A3_N-Acetyl-D_Glucosamine,100
23.5,A3_N-Acetyl-D_Glucosamine,100
23.75,A3_N-Acetyl-D_Glucosamine,102
24.0,A3_N-Acetyl-D_Glucosamine,98
24.25,A3_N-Acetyl-D_Glucosamine,102
24.5,A3_N-Acetyl-D_Glucosamine,104
24.75,A3_N-Acetyl-D_Glucosamine,103
25.0,A3_N-Acetyl-D_Glucosamine,104
25.25,A3_N-Acetyl-D_Glucosamine,107
25.5,A3_N-Acetyl-D_Glucosamine,110
25.75,A3_N-Acetyl-D_Glucosamine,113
26.0,A3_N-Acetyl-D_Glucosamine,115
26.25,A3_N-Acetyl-D_Glucosamine,114
26.5,A3_N-Acetyl-D_Glucosamine,113
26.75,A3_N-Acetyl-D_Glucosamine,114
27.0,A3_N-Acetyl-D_Glucosamine,116
27.25,A3_N-Acetyl-D_Glucosamine,113
27.5,A3_N-Acetyl-D_Glucosamine,122
27.75,A3_N-Acetyl-D_Glucosamine,119
28.0,A3_N-Acetyl-D_Glucosamine,119
28.25,A3_N-Acetyl-D_Glucosamine,122
28.5,A3_N-Acetyl-D_Glucosamine,122
28.75,A3_N-Acetyl-D_Glucosamine,128
29.0,A3_N-Acetyl-D_Glucosamine,126
29.25,A3_N-Acetyl-D_Glucosamine,130
29.5,A3_N-Acetyl-D_Glucosamine,127
29.75,A3_N-Acetyl-D_Glucosamine,131
