"Wells","sample","OD.k","OD.n0","OD.r","OD.t_mid","OD.t_gen","OD.auc_l","OD.auc_e","OD.sigma","OD.note","OD.AUC","OD.max_gr","OD.max_val"
"bactExtract_Y1P062_PM1_  G06","NA",278.696730131769,5.35350084441677,0.2339528460812,16.8109839703839,2.96276447228758,8530.73015399975,8612.25,21.2433430280385,"",6708.75,1.22174670730953,285
"bactExtract_Y1P062_PM1_  G07","NA",59.2364150853695,4.06555843961622,0.425182562999121,6.13356231043057,1.63023425906903,2440.49360264975,2454.125,5.5910103684089,"",1751.875,1.51823201052688,65
"bactExtract_Y1P062_PM1_  G08","NA",43.3756889324834,12.46919608583,0.200468839249378,4.52791067159967,3.45763053826878,1790.64792140249,1792.75,4.68516344469446,"",49.5,1.74158604805909,51
"bactExtract_Y1P062_PM1_  G09","NA",115.656863813575,21.3421665708139,0.130426136916916,11.3930558847607,5.31448064739888,4003.0798151717,4003.375,11.0027753332022,"",2594.5,1.80826627106624,132
"bactExtract_Y1P062_PM1_  G10","NA",181.634623500421,10.1150089772169,0.163148433485819,17.3503184299673,4.24856779651637,5420.53980641036,5495.75,15.3370863100922,"",4175.125,1.06300417308346,184
"bactExtract_Y1P062_PM1_  G11","NA",177.629973976254,17.190682270321,0.077704454621482,28.7441450881158,8.92030172448208,3577.41604371395,3605.625,11.3621677238079,"",2427.75,1.04964616145058,150
"bactExtract_Y1P062_PM1_  G12","NA",258.089632689249,2.93617027180971,0.480040226980599,9.30080193918265,1.44393561539575,9852.6654360486,9977.625,21.6472004237625,"",8600.5,0.657330629430576,273
"bactExtract_Y1P062_PM1_  H01","NA",288.771575595853,14.9297944973073,0.23600383616736,12.326882895465,2.93701658335929,10092.3454046828,10132.5,21.7714721944761,"",8373.5,1.42695685538867,303
"bactExtract_Y1P062_PM1_  H02","NA",48.6190016438953,19.8176923710704,0.255530769573235,1.46301658615035,2.71257814359334,2138.65121757678,2141.75,4.97723952794148,"",9.625,1.54292789615015,55
"bactExtract_Y1P062_PM1_  H03","NA",159.862151827509,19.5469704725429,0.136356471126125,14.4552793129137,5.08334642892605,5142.57391782837,5161.125,12.8025736596145,"",2390.25,0.830707118775799,169
"bactExtract_Y1P062_PM1_  H04","NA",50.5827317117949,15.6113861508375,0.183684875658934,4.39082692865072,3.77356697481713,2079.04317663742,2084.75,4.94833380179681,"",1420,3.24430535684187,61
"bactExtract_Y1P062_PM1_  H05","NA",82.9917229549973,20.3965191329188,0.196432547534978,5.70844504859189,3.5286778553667,3349.3025227552,3358.5,7.40919581448426,"",1603.125,1.62215267842093,91
"bactExtract_Y1P062_PM1_  H06","NA",171.23772402005,120.356806262021,0.0942118969324133,-9.13868405157595,7.35732113596229,7501.65783554402,7523.625,12.7663650176289,"questionable fit",2068,0.306588138806518,179
"bactExtract_Y1P062_PM1_  H07","NA",67.6279687480753,19.1854561860944,0.106650633314814,8.68466746456592,6.49923173464798,2423.45646231826,2429.875,5.89542983246935,"",1530.625,1.54292789615015,75
